east_err(m),north_err(m),up_err(m),2d_err(m),3d_err(m)
4.460625428732035216e+05,2.549519271714248229e+06,6.495417719976556487e+06,2.588246570363198407e+06,6.992100661888550036e+06
4.460627948335754918e+05,2.549519485501031391e+06,6.495417606155437417e+06,2.588246824374403339e+06,6.992100650179330260e+06
4.460633281685450929e+05,2.549519809909489471e+06,6.495416650176376104e+06,2.588247235844697803e+06,6.992099914421004243e+06
4.460637289776175749e+05,2.549519860232732259e+06,6.495416450033649802e+06,2.588247354491171427e+06,6.992099772414456122e+06
4.460642365130861290e+05,2.549520170055820607e+06,6.495415531503661536e+06,2.588247747148147784e+06,6.992099064481027424e+06
4.460647532263380126e+05,2.549520432439991273e+06,6.495415072022568434e+06,2.588248094657827634e+06,6.992098766275960952e+06
4.460652104840292595e+05,2.549520906329047401e+06,6.495413520461722277e+06,2.588248640261025634e+06,6.992097526894915849e+06
4.460655576857462293e+05,2.549521193813093938e+06,6.495413144474376924e+06,2.588248983281098306e+06,6.992097304590815678e+06
4.460657925355368643e+05,2.549521313033103477e+06,6.495411866920680739e+06,2.588249141191859264e+06,6.992096176241742447e+06
4.460661791013113689e+05,2.549521680827302393e+06,6.495411031981820241e+06,2.588249570104574785e+06,6.992095559382583946e+06
4.460666844700912479e+05,2.549522014118758496e+06,6.495409935670972802e+06,2.588249985505710356e+06,6.992094694716562517e+06
4.460673367697542417e+05,2.549522432211336214e+06,6.495409360918954015e+06,2.588250509761693887e+06,6.992094354855006561e+06
4.460674301505314070e+05,2.549522939548678696e+06,6.495408954254833981e+06,2.588251025601271540e+06,6.992094168025764637e+06
4.460678015026430949e+05,2.549523214342663530e+06,6.495408104775858112e+06,2.588251360283531249e+06,6.992093502778509632e+06
4.460681684716544696e+05,2.549523432371922303e+06,6.495407571183163673e+06,2.588251638295079581e+06,6.992093110000804998e+06
4.460682982200040133e+05,2.549523803614990786e+06,6.495406817683242261e+06,2.588252026344486512e+06,6.992092553669630550e+06
4.460685340505768545e+05,2.549524091559559107e+06,6.495406054011522792e+06,2.588252350624379236e+06,6.992091964283805341e+06
4.460689856171727879e+05,2.549524396033164114e+06,6.495405291168271564e+06,2.588252728366726544e+06,6.992091395457769744e+06
4.460696681778155616e+05,2.549524673382799607e+06,6.495403936275738291e+06,2.588253119201431051e+06,6.992090281485378742e+06
4.460699290078648482e+05,2.549525138064980973e+06,6.495403424674544483e+06,2.588253621882976033e+06,6.992089992303026840e+06
4.460696848236058140e+05,2.549525672451366205e+06,6.495403498007604852e+06,2.588254106189580169e+06,6.992090239702048711e+06
4.460699985653563053e+05,2.549525981796979904e+06,6.495403312655024230e+06,2.588254464977883734e+06,6.992090200328354724e+06
4.460697686740164063e+05,2.549526253313676920e+06,6.495401947089866735e+06,2.588254692811463960e+06,6.992089016103798524e+06
4.460694409615884651e+05,2.549526687321268953e+06,6.495402515378518961e+06,2.588255063845746219e+06,6.992089681369136088e+06
4.460693320432338514e+05,2.549527137913039420e+06,6.495403193773514591e+06,2.588255488923871890e+06,6.992090468924706802e+06
4.460694929254054441e+05,2.549527465371903032e+06,6.495402829844599590e+06,2.588255839209951460e+06,6.992090260512777604e+06
4.460688752521828865e+05,2.549527909984409343e+06,6.495401818435068242e+06,2.588256170717693400e+06,6.992089443663303740e+06
4.460685431841176469e+05,2.549528314814124722e+06,6.495402483834639192e+06,2.588256512260203250e+06,6.992090188224301673e+06
4.460689197984000784e+05,2.549528352805760223e+06,6.495401748457871377e+06,2.588256614590323996e+06,6.992089542964973487e+06
4.460693712701576296e+05,2.549528883860928006e+06,6.495399817162713036e+06,2.588257215507474262e+06,6.992087971301841550e+06
4.460682025368786417e+05,2.549531686361756176e+06,6.495392687725653872e+06,2.588259774651126936e+06,6.992082295628177002e+06
4.460696275854115956e+05,2.549529723659932148e+06,6.495399699259609915e+06,2.588258086914764717e+06,6.992088184342465363e+06
4.460705879342253320e+05,2.549529824467767030e+06,6.495398579595455900e+06,2.588258351724307053e+06,6.992087242238992825e+06
