iTOW,tAcc,nano,year,month,day,hour,min,sec,validTOW,validWKN,validUTC,authStatus,utcStandard
94525200,22,200357812,2025,10,27,2,15,7,1,1,1,0,3
94525300,22,300357791,2025,10,27,2,15,7,1,1,1,0,3
94525400,22,400357771,2025,10,27,2,15,7,1,1,1,0,3
94525500,22,500357749,2025,10,27,2,15,7,1,1,1,0,3
94525600,22,600357728,2025,10,27,2,15,7,1,1,1,0,3
94525700,22,700357707,2025,10,27,2,15,7,1,1,1,0,3
94525800,22,800357686,2025,10,27,2,15,7,1,1,1,0,3
94525900,22,900357665,2025,10,27,2,15,7,1,1,1,0,3
94526000,22,357644,2025,10,27,2,15,8,1,1,1,0,3
94526100,22,100357623,2025,10,27,2,15,8,1,1,1,0,3
94526200,22,200357602,2025,10,27,2,15,8,1,1,1,0,3
94526300,22,300357581,2025,10,27,2,15,8,1,1,1,0,3
94526400,22,400357560,2025,10,27,2,15,8,1,1,1,0,3
94526500,22,500357539,2025,10,27,2,15,8,1,1,1,0,3
94526600,22,600357518,2025,10,27,2,15,8,1,1,1,0,3
94526700,22,700357496,2025,10,27,2,15,8,1,1,1,0,3
94526800,22,800357475,2025,10,27,2,15,8,1,1,1,0,3
94526900,22,900357454,2025,10,27,2,15,8,1,1,1,0,3
94527000,22,357433,2025,10,27,2,15,9,1,1,1,0,3
94527100,22,100357412,2025,10,27,2,15,9,1,1,1,0,3
94527200,22,200357391,2025,10,27,2,15,9,1,1,1,0,3
94527300,22,300357370,2025,10,27,2,15,9,1,1,1,0,3
94527400,22,400357348,2025,10,27,2,15,9,1,1,1,0,3
94527500,22,500357327,2025,10,27,2,15,9,1,1,1,0,3
94527600,22,600357306,2025,10,27,2,15,9,1,1,1,0,3
94527700,22,700357285,2025,10,27,2,15,9,1,1,1,0,3
94527800,22,800357264,2025,10,27,2,15,9,1,1,1,0,3
94527900,22,900357243,2025,10,27,2,15,9,1,1,1,0,3
94528000,22,357222,2025,10,27,2,15,10,1,1,1,0,3
94528100,22,100357201,2025,10,27,2,15,10,1,1,1,0,3
94528200,22,200357180,2025,10,27,2,15,10,1,1,1,0,3
94528300,22,300357159,2025,10,27,2,15,10,1,1,1,0,3
