iTOW,version,reserved0,srcOfCurrLs,currLs,srcOfLsChange,lsChange,timeToLsEvent,dateOfLsGpsWn,dateOfLsGpsDn,reserved1,validCurrLs,validTimeToLsEvent
94508000,0,0,2,18,2,0,31355110,2441,7,0,1,1
94508100,0,0,2,18,2,0,31355110,2441,7,0,1,1
94508200,0,0,2,18,2,0,31355110,2441,7,0,1,1
94508300,0,0,2,18,2,0,31355110,2441,7,0,1,1
94508400,0,0,2,18,2,0,31355110,2441,7,0,1,1
94508500,0,0,2,18,2,0,31355110,2441,7,0,1,1
94508600,0,0,2,18,2,0,31355110,2441,7,0,1,1
94508700,0,0,2,18,2,0,31355110,2441,7,0,1,1
94508800,0,0,2,18,2,0,31355110,2441,7,0,1,1
94508900,0,0,2,18,2,0,31355110,2441,7,0,1,1
94509000,0,0,2,18,2,0,31355109,2441,7,0,1,1
94509200,0,0,2,18,2,0,31355109,2441,7,0,1,1
94509400,0,0,2,18,2,0,31355109,2441,7,0,1,1
94509600,0,0,2,18,2,0,31355109,2441,7,0,1,1
94509700,0,0,2,18,2,0,31355109,2441,7,0,1,1
94509900,0,0,2,18,2,0,31355109,2441,7,0,1,1
94510100,0,0,2,18,2,0,31355108,2441,7,0,1,1
94510300,0,0,2,18,2,0,31355108,2441,7,0,1,1
94510400,0,0,2,18,2,0,31355108,2441,7,0,1,1
94510500,0,0,2,18,2,0,31355108,2441,7,0,1,1
94510600,0,0,2,18,2,0,31355108,2441,7,0,1,1
94510700,0,0,2,18,2,0,31355108,2441,7,0,1,1
94510800,0,0,2,18,2,0,31355108,2441,7,0,1,1
94510900,0,0,2,18,2,0,31355108,2441,7,0,1,1
94511000,0,0,2,18,2,0,31355107,2441,7,0,1,1
94511100,0,0,2,18,2,0,31355107,2441,7,0,1,1
94511200,0,0,2,18,2,0,31355107,2441,7,0,1,1
94511300,0,0,2,18,2,0,31355107,2441,7,0,1,1
94511400,0,0,2,18,2,0,31355107,2441,7,0,1,1
94511500,0,0,2,18,2,0,31355107,2441,7,0,1,1
94511600,0,0,2,18,2,0,31355107,2441,7,0,1,1
94511700,0,0,2,18,2,0,31355107,2441,7,0,1,1
94511900,0,0,2,18,2,0,31355107,2441,7,0,1,1
94512000,0,0,2,18,2,0,31355106,2441,7,0,1,1
94512200,0,0,2,18,2,0,31355106,2441,7,0,1,1
94512300,0,0,2,18,2,0,31355106,2441,7,0,1,1
94512400,0,0,2,18,2,0,31355106,2441,7,0,1,1
94512600,0,0,2,18,2,0,31355106,2441,7,0,1,1
94512700,0,0,2,18,2,0,31355106,2441,7,0,1,1
