iTOW,velN,velE,velD,speed,gSpeed,heading,sAcc,cAcc
94522900,0,0,0,0,0,0.0,1,57.29578
94523000,0,0,0,0,0,0.0,1,57.29578
94523100,0,0,0,0,0,0.0,1,57.29578
94523200,0,0,0,0,0,0.0,1,57.29578
94523300,0,0,0,0,0,0.0,1,57.29578
94523400,0,0,0,0,0,0.0,1,57.29578
94523500,0,0,0,0,0,0.0,1,57.29578
94523600,0,0,0,0,0,0.0,1,57.29578
94523700,0,0,0,0,0,0.0,1,57.29578
94523800,0,0,0,0,0,0.0,1,57.29578
94523900,0,0,0,0,0,0.0,1,57.29578
94524000,0,0,0,0,0,0.0,1,57.29578
94524100,0,0,0,0,0,0.0,1,57.29578
94524200,0,0,0,0,0,0.0,1,57.29578
94524300,0,0,0,0,0,0.0,1,57.29578
94524400,0,0,0,0,0,0.0,1,57.29578
94524500,0,0,0,0,0,0.0,1,57.29578
94524600,0,0,0,0,0,0.0,1,57.29578
94524700,0,0,0,0,0,0.0,1,57.29578
94524800,0,0,0,0,0,0.0,1,57.29578
94524900,0,0,0,0,0,0.0,1,57.29578
94525000,0,0,0,0,0,0.0,1,57.29578
94525100,0,0,0,0,0,0.0,1,57.29578
94525200,0,0,0,0,0,0.0,1,57.29578
94525300,0,0,0,0,0,0.0,1,57.29578
94525400,0,0,0,0,0,0.0,1,57.29578
94525500,0,0,0,0,0,0.0,1,57.29578
94525600,0,0,0,0,0,0.0,1,57.29578
94525700,0,0,0,0,0,0.0,1,57.29578
94525800,0,0,0,0,0,0.0,1,57.29578
94525900,0,0,0,0,0,0.0,1,57.29578
94526000,0,0,0,0,0,0.0,1,57.29578
94526100,0,0,0,0,0,0.0,1,57.29578
94526200,0,0,0,0,0,0.0,1,57.29578
94526300,0,0,0,0,0,0.0,1,57.29578
94526400,0,0,0,0,0,0.0,1,57.29578
94526500,0,0,0,0,0,0.0,1,57.29578
94526600,0,0,0,0,0,0.0,1,57.29578
94526700,0,0,0,0,0,0.0,1,57.29578
94526800,0,0,0,0,0,0.0,1,57.29578
94526900,0,0,0,0,0,0.0,1,57.29578
94527000,0,0,0,0,0,0.0,1,57.29578
94527100,0,0,0,0,0,0.0,1,57.29578
94527200,0,0,0,0,0,0.0,1,57.29578
94527300,0,0,0,0,0,0.0,1,57.29578
94527400,0,0,0,0,0,0.0,1,57.29578
