version,reserved0,invalidLlh,iTOW,lon,lat,height,hMSL,hAcc,vAcc
0,0,0,108586000,114.181244149,22.300910714,16198.7,17802.1,318.5,567.4
0,0,0,108586200,114.181246121,22.300910356,16195.7,17799.1,318.5,567.2
0,0,0,108586300,114.181247348,22.300910056,16214.2,17817.6,318.1,566.5
0,0,0,108586500,114.181249416,22.300909311,16213.0,17816.4,318.0,566.3
0,0,0,108586600,114.18125051,22.300908384,16183.5,17786.8,317.6,565.6
0,0,0,108586700,114.181251398,22.300907916,16157.3,17760.7,317.3,564.9
0,0,0,108586800,114.181252665,22.300907478,16137.3,17740.6,316.9,564.2
0,0,0,108586900,114.181253745,22.300907314,16139.8,17743.1,316.5,563.5
0,0,0,108587000,114.181254466,22.300906927,16135.1,17738.4,316.1,562.8
0,0,0,108587200,114.181256616,22.300906381,16081.2,17684.5,316.0,562.6
0,0,0,108587300,114.181257929,22.300906227,16077.4,17680.8,315.6,561.9
0,0,0,108587400,114.181259316,22.300905652,16086.3,17689.6,315.3,561.2
0,0,0,108587500,114.181260453,22.300905071,16124.3,17727.6,314.9,560.4
0,0,0,108587600,114.181261693,22.300904448,16125.9,17729.2,314.5,559.7
0,0,0,108587800,114.18126383,22.300903503,16086.0,17689.3,314.4,559.5
0,0,0,108587900,114.181264694,22.300902949,16115.0,17718.4,314.0,558.8
0,0,0,108588000,114.181265699,22.300902684,16140.5,17743.9,313.7,558.2
0,0,0,108588200,114.181267587,22.300902035,16105.3,17708.6,313.6,558.0
0,0,0,108588400,114.181270211,22.300901328,16086.5,17689.8,313.6,557.9
0,0,0,108588500,114.181271683,22.30090076,16072.6,17675.8,313.3,557.3
0,0,0,108588700,114.181273617,22.300899593,16090.8,17694.1,313.3,557.2
0,0,0,108588800,114.181274542,22.300899036,16083.0,17686.3,313.0,556.6
0,0,0,108589000,114.18127642,22.300898205,16104.3,17707.5,313.0,556.5
0,0,0,108589200,114.1812783,22.300897498,16106.1,17709.3,313.0,556.4
0,0,0,108589300,114.181279214,22.300897405,16099.9,17703.1,312.6,555.7
0,0,0,108589400,114.181279967,22.300897094,16100.7,17704.0,312.3,555.1
0,0,0,108589500,114.181280799,22.300897007,16119.6,17722.9,311.9,554.5
0,0,0,108589600,114.18128172,22.300896587,16145.8,17749.0,311.6,553.8
0,0,0,108589700,114.18128276,22.300896166,16151.8,17755.1,311.2,553.2
0,0,0,108589800,114.181283791,22.300895657,16126.3,17729.5,310.9,552.6
0,0,0,108589900,114.181284691,22.300895102,16090.1,17693.3,310.6,551.9
0,0,0,108590000,114.181286009,22.300894739,16096.0,17699.2,310.2,551.3
0,0,0,108590200,114.181288005,22.300894084,16116.5,17719.7,310.2,551.2
0,0,0,108590300,114.181288973,22.300893874,16091.3,17694.5,309.9,550.5
0,0,0,108590400,114.181289861,22.300893607,16058.9,17662.1,309.5,549.9
0,0,0,108590500,114.181290955,22.300893369,16025.5,17628.8,309.2,549.3
0,0,0,108590600,114.181292577,22.300893006,15977.3,17580.5,308.9,548.6
0,0,0,108590700,114.181294057,22.300892472,15979.2,17582.4,308.6,548.0
0,0,0,108590800,114.181295091,22.300892173,15997.5,17600.7,308.2,547.5
0,0,0,108590900,114.181295984,22.300891403,15978.3,17581.5,307.9,546.9
0,0,0,108591000,114.181297025,22.300890983,15958.8,17562.0,307.6,546.3
0,0,0,108591100,114.181298148,22.30089061,15945.5,17548.7,307.3,545.7
0,0,0,108591200,114.181299143,22.300890125,15952.6,17555.8,307.0,545.2
0,0,0,108591400,114.181301078,22.300889392,15954.4,17557.5,307.0,545.2
0,0,0,108591500,114.181301963,22.300889204,15928.9,17532.0,306.7,544.6
0,0,0,108591700,114.181304283,22.300888466,15908.2,17511.3,306.7,544.6
0,0,0,108591900,114.181306267,22.300887557,15923.9,17527.0,306.8,544.5
0,0,0,108592000,114.181306939,22.300887162,15915.0,17518.2,306.4,543.9
0,0,0,108592200,114.181308952,22.300886385,15894.9,17498.1,306.5,543.9
0,0,0,108592400,114.181310968,22.300885931,15897.9,17501.0,306.5,543.8
0,0,0,108592600,114.181312761,22.300885244,15885.9,17489.1,306.5,543.7
0,0,0,108592800,114.1813148,22.300884168,15914.5,17517.6,306.5,543.6
0,0,0,108592900,114.181315471,22.300883764,15962.3,17565.4,306.1,543.0
0,0,0,108593100,114.181317271,22.300882742,15962.4,17565.5,306.2,542.9
0,0,0,108593300,114.181318919,22.300881905,15973.6,17576.7,306.2,542.8
0,0,0,108593400,114.181319615,22.300881695,15988.9,17592.0,305.9,542.2
0,0,0,108593500,114.181320512,22.300881684,16008.7,17611.8,305.5,541.6
0,0,0,108593700,114.181322082,22.300881356,15991.5,17594.6,305.5,541.5
0,0,0,108593800,114.181322762,22.300881164,15996.0,17599.1,305.2,540.9
0,0,0,108593900,114.181323511,22.300880989,16022.1,17625.2,304.9,540.3
0,0,0,108594100,114.181325753,22.300880227,16033.0,17636.1,304.9,540.2
0,0,0,108594300,114.181327673,22.300879663,16007.9,17611.0,305.0,540.2
0,0,0,108594500,114.18132954,22.300878802,16028.7,17631.7,305.0,540.2
0,0,0,108594700,114.181331453,22.300878183,16014.3,17617.3,305.0,540.1
0,0,0,108594800,114.181332373,22.300877783,15984.3,17587.4,304.7,539.5
0,0,0,108594900,114.181333631,22.300877504,15953.4,17556.5,304.4,539.0
0,0,0,108595100,114.181335419,22.300877168,15967.6,17570.7,304.4,539.0
0,0,0,108595300,114.181337511,22.300875871,15959.4,17562.5,304.4,539.0
0,0,0,108595500,114.18134012,22.300874773,15941.5,17544.5,304.5,539.0
0,0,0,108595600,114.181340395,22.300874114,15987.9,17590.9,304.1,538.4
0,0,0,108595800,114.181342273,22.300873083,15976.3,17579.3,304.2,538.4
0,0,0,108596000,114.181343863,22.300872704,15956.1,17559.1,304.2,538.4
0,0,0,108596200,114.181345916,22.300872233,15983.4,17586.4,304.2,538.3
0,0,0,108596400,114.181348127,22.30087152,15975.9,17578.9,304.3,538.3
0,0,0,108596500,114.181349035,22.300871096,15958.9,17561.9,303.9,537.7
0,0,0,108596600,114.181349966,22.300870732,15933.2,17536.1,303.6,537.1
0,0,0,108596700,114.181351163,22.300870312,15928.5,17531.5,303.3,536.6
0,0,0,108596800,114.181351814,22.300869989,15954.2,17557.1,302.9,536.0
0,0,0,108596900,114.181352654,22.30086982,15977.6,17580.6,302.6,535.4
0,0,0,108597000,114.181353651,22.300869738,15967.8,17570.7,302.3,534.8
