gnssId,svId,sigId,freqId,numWords,chn,version,reserved0,dwrd_01,dwrd_02,dwrd_03,dwrd_04,dwrd_05,dwrd_06,dwrd_07,dwrd_08
6,11,0,7,4,13,2,32,138728509,2821514949,2553096192,253624322,,,,
6,21,0,11,4,14,2,32,138728647,898983568,2414620672,253624322,,,,
6,22,0,4,4,15,2,32,138728527,4198778439,4200458240,253624322,,,,
6,10,0,0,4,16,2,32,138727504,84700710,2052345856,253624322,,,,
6,11,2,7,4,89,2,67,138728509,2821514949,2553096192,253624322,,,,
2,15,5,0,8,69,2,67,9786709,1431655765,1431655765,1432223744,2889842688,42,2863300761,4244586496
2,13,5,0,8,68,2,67,9786709,1431655765,1431655765,1432223744,2889842688,42,2863300761,4244586496
6,22,2,4,4,91,2,67,138728527,4198778439,4200458240,253624322,,,,
6,21,2,11,4,90,2,67,138728647,898983568,2414620672,253624322,,,,
6,12,0,6,4,12,2,32,138728625,1528071588,1383419904,253624322,,,,
6,12,2,6,4,88,2,67,138728625,1528071588,1383419904,253624322,,,,
1,129,0,0,9,2,2,238,2584379395,4294966783,3758096320,8189,4292869631,3757942267,2870983611,2604727168
1,128,0,0,9,39,2,173,2586181007,2652793395,468053047,536643728,21505319,4293723264,268435456,785018880
3,25,0,0,10,9,2,173,948967615,61870117,135730577,788627537,405217260,944460342,240189631,134233073
3,34,0,0,10,11,2,173,948967615,61870117,135730577,792551366,354885468,944460342,240189631,134231536
3,24,0,0,10,10,2,173,948967615,61870117,135730577,788770899,992419756,944460342,240189631,134220541
3,7,0,0,10,8,2,173,948967615,61866016,135730577,789123178,187113452,944460342,240189631,134223097
3,7,2,0,10,67,2,67,948967615,61866016,135730577,789123178,187113452,944460342,240189631,134223097
3,9,0,0,10,6,2,173,948967615,61866016,135730577,788799571,656875372,944460342,240189631,134218227
3,9,2,0,10,65,2,67,948967615,61866016,135730577,788799571,656875372,944460342,240189631,134218227
3,40,0,0,10,24,2,173,948967615,61870117,135730577,788643926,472325900,944460342,240189631,134247668
3,6,0,0,10,7,2,173,948967615,61866016,135730577,788877139,807870348,944460342,240189631,134221047
3,10,0,0,10,25,2,173,948967615,61866016,135730577,788758620,505880444,944460342,240189631,134245881
3,10,2,0,10,64,2,67,948967615,61866016,135730577,788758620,505880444,944460342,240189631,134245881
3,6,2,0,10,66,2,67,948967615,61866016,135730577,788877139,807870348,944460342,240189631,134221047
1,137,0,0,9,0,2,225,2584297475,4294966783,3758096320,8189,4292869631,3757942267,2870983611,2781483520
2,18,1,0,8,40,2,0,9786709,1431655765,1431655765,1432223744,2889870476,3472092202,2863291767,3980460032
2,27,1,0,8,41,2,0,9786709,1431655765,1431655765,1432223744,2889874536,3810405738,2863286896,2994798592
2,30,1,0,8,49,2,0,9786709,1431655765,1431655765,1432223744,2889874856,1483487978,2863291261,1812004864
2,13,1,0,8,23,2,0,9786709,1431655765,1431655765,1432223744,2889862145,673159018,2863295460,893452288
2,15,1,0,8,38,2,0,9786709,1431655765,1431655765,1432223744,2889859072,42,2863299808,37814272
1,129,0,0,9,2,2,238,3329382662,3269550151,4160978879,3354261632,0,0,0,909091392
1,128,0,0,9,39,2,173,3323125757,4292869120,536739823,2046804657,4292869631,3758078871,3149922303,3622258816
1,137,0,0,9,0,2,225,3329317126,3269550151,4160978879,3354261632,0,0,0,69696576
2,18,5,0,8,70,2,0,34532055,1835305147,1475026525,3114450944,2418622464,42,2863307664,3057598464
6,11,0,7,4,13,2,0,281346204,1021613590,983816192,253624322,,,,
6,22,0,4,4,15,2,0,281347248,983340435,281743360,253624322,,,,
6,21,0,11,4,14,2,0,281347418,3992717569,1862152192,253624322,,,,
6,10,0,0,4,16,2,0,281347184,2682540819,1272649728,253624322,,,,
6,11,2,7,4,89,2,67,281346204,1021613590,983816192,253624322,,,,
2,15,5,0,8,69,2,67,34485876,2186644012,1058746606,4136239104,2157199360,42,2863310823,3703521280
6,22,2,4,4,91,2,67,281347248,983340435,281743360,253624322,,,,
2,13,5,0,8,68,2,67,34535028,3013904940,1558081838,2923315200,2156675072,42,2863305038,2814328832
6,21,2,11,4,90,2,67,281347418,3992717569,1862152192,253624322,,,,
6,12,0,6,4,12,2,0,281346389,3719580488,632178688,253624322,,,,
6,12,2,6,4,88,2,67,281346389,3719580488,632178688,253624322,,,,
1,129,0,0,9,2,2,238,1399067008,336594686,287703422,3233815612,469630976,2146435072,1,749213312
1,128,0,0,9,39,2,173,1393344520,23067648,1610350815,4261396493,4294965759,3757926295,2545515259,3148999872
1,137,0,0,9,0,2,225,1399067008,336594430,287703422,3233815100,469630976,2146435072,0,2477007296
2,18,1,0,8,40,2,0,17753352,3498136254,1412104890,2773123072,2880169282,1137240938,2863293676,2466955264
2,27,1,0,8,41,2,0,17753352,1363526112,2040733,2852438016,2912807558,2210982762,2863290701,2668281856
2,30,1,0,8,49,2,0,17753352,1369172185,3687966,2852454400,2196111177,63499114,2863284605,399163392
2,13,1,0,8,23,2,0,17753352,989605633,3106144,2852438016,2659172993,2210982762,2863289384,1246412800
2,15,1,0,8,38,2,0,17704170,1401355905,3629127,2852438016,2629746688,42,2863285716,4257923072
1,129,0,0,9,2,2,238,2588450560,0,4261413119,3221258224,4193280,536608775,4286579711,2606745088
1,128,0,0,9,39,2,173,2584330253,4290775551,3757834816,301981693,4290781695,3221862971,2512108025,2007761024
1,137,0,0,9,0,2,225,2600206336,0,0,0,0,0,0,478639936
0,14,0,0,10,5,2,0,583096097,2925186299,529521116,85790532,173580019,574889369,2295821454,2344550851
0,22,0,0,10,19,2,0,583096097,2925186299,529521116,85790532,173580019,574889369,2295821454,2344550851
0,3,0,0,10,4,2,0,583096097,2925186299,529521116,85790532,173580019,574889369,2295821454,2344550851
2,18,5,0,8,70,2,0,68080129,1425703572,537993865,4160929792,2923446272,42,2863309031,2076131328
0,17,0,0,10,18,2,0,583096097,2925186299,529521116,85790532,173580019,574889369,2295821454,2344550851
0,6,0,0,10,36,2,0,583096097,2925186299,529521116,85790532,173580019,574889369,2295821454,2344550851
0,30,0,0,10,20,2,0,583096097,2925186299,529521116,85790532,173580019,574889369,2295821454,2344550851
0,19,0,0,10,48,2,0,583096097,2925186299,529521116,85790532,173580019,574889369,2295821454,2344550851
0,7,0,0,10,37,2,0,583096097,2925186299,529521116,85790532,173580019,574889369,2295821454,2344550851
2,15,5,0,8,69,2,0,68030463,3875533971,2885567027,1476378624,2432712704,42,2863301865,2768191488
2,13,5,0,8,68,2,0,68079103,3640656276,603956841,1073725440,3045081088,42,2863312467,3447668736
6,11,0,7,4,13,2,0,503395744,1706035533,1594093568,253624322,,,,
6,11,2,7,4,89,2,0,503395744,1706035533,1594093568,253624322,,,,
6,21,0,11,4,14,2,0,503459921,466884169,4272889856,253624322,,,,
6,22,0,4,4,15,2,0,469840272,2052344519,2476476416,253624322,,,,
6,10,0,0,4,16,2,0,503494060,124839848,3043356672,253624322,,,,
6,12,0,6,4,12,2,0,469808260,3583284608,1749866496,253624322,,,,
6,22,2,4,4,91,2,67,469840272,2052344519,2476476416,253624322,,,,
6,21,2,11,4,90,2,67,503459921,466884169,4272889856,253624322,,,,
6,12,2,6,4,88,2,67,469808260,3583284608,1749866496,253624322,,,,
5,7,0,0,10,1,2,0,583051905,2925184071,1019926075,1040454704,1056445450,3203924029,2147483689,2147483689
5,2,0,0,10,21,2,0,583051905,2925184071,1019926075,1040454704,1056445450,3203924029,2147483689,2147483689
5,3,0,0,10,22,2,0,583051905,2925184071,1019926075,1040454704,1056445450,3203924029,2147483689,2147483689
1,129,0,0,9,2,2,238,3322978301,4292869120,536739807,4261404669,4292869631,3758078875,3149642683,2497144064
1,128,0,0,9,39,2,173,3338405120,2670469,702545952,4194304,0,0,0,69589952
1,137,0,0,9,0,2,225,3322961917,4292869120,536739807,4261404669,4292869631,3758078875,3149642683,2555728512
2,18,1,0,8,40,2,0,51314663,3469802625,1761741319,2969681920,3218799709,1250026666,2863289278,617332736
2,27,1,0,8,41,2,0,51314673,2898802369,633731075,700547072,2497369309,1250026666,2863289283,3775643648
2,30,1,0,8,49,2,0,51314673,2634573057,1346750211,838975488,2258302877,1250026666,2863292491,1816903680
2,13,1,0,8,23,2,0,51314671,4001845632,2583598540,4240490496,2220543901,1250026669,673871837,508280832
2,15,1,0,8,38,2,0,51265519,3548873024,1853779853,998277120,2669330432,42,2863288638,2227945472
1,129,0,0,9,2,2,238,1393393665,4292869120,1610350623,4261396481,4292869631,3757947807,2881108923,2402134976
1,128,0,0,9,39,2,173,1409025280,1427774044,3357350236,3708296025,1557977177,3645380766,1209126993,4237060416
1,137,0,0,9,0,2,225,1393377281,4292869120,1610350623,4261396481,4292869631,3757947807,2881108923,2209324096
2,18,5,0,8,70,2,0,100663296,33554431,311449481,3796975616,2718466048,42,2863313578,1178550272
6,11,0,7,4,13,2,0,604079395,1322,2573801472,253624322,,,,
6,11,2,7,4,89,2,0,604079395,1322,2573801472,253624322,,,,
2,15,5,0,8,69,2,0,100663296,33554431,311449481,3796975616,2718466048,42,2863313578,1178550272
2,13,5,0,8,68,2,0,100663296,33554431,311449481,3796975616,2718466048,42,2863313578,1178550272
6,22,0,4,4,15,2,0,607229156,1066,2597318656,253624322,,,,
6,22,2,4,4,91,2,0,607229156,1066,2597318656,253624322,,,,
6,21,0,11,4,14,2,0,545557249,4906,2594969600,253624322,,,,
6,10,0,0,4,16,2,0,550804459,5418,2571866112,253624322,,,,
6,12,0,6,4,12,2,0,606088424,4394,2576130048,253624322,,,,
6,21,2,11,4,90,2,67,545557249,4906,2594969600,253624322,,,,
6,12,2,6,4,88,2,67,606088424,4394,2576130048,253624322,,,,
0,14,4,0,10,82,2,67,2335828886,3013275006,4105880942,1861633,4010802050,3019497435,553713155,1174012410
0,3,4,0,10,84,2,67,2332945302,3012684030,4104776824,4290906112,50334206,3959947436,553713155,1174012410
0,17,4,0,10,85,2,67,2336615318,3011210622,4094330031,2139748353,3893358979,3288334336,553713155,1174012410
0,30,4,0,10,87,2,67,2340023190,3014158590,4060402300,2154168320,152036990,1074397295,553713155,1174012410
0,6,4,0,10,99,2,67,2333731734,3011702142,4117443056,4290299904,134219261,3825705036,553713155,1174012410
5,7,4,0,10,98,2,67,2334002070,3015341070,3925867795,1,394144198,2386199826,2432299520,1511641080
5,2,4,0,10,96,2,67,2332691350,3015341070,3925866179,2147450881,394144198,2386199826,2432299520,1511641080
5,3,4,0,10,97,2,67,2332953494,3015341070,3925814990,2147219457,394144198,2386199826,2432299520,1511641080
1,129,0,0,9,2,2,238,2584248323,4294966783,3758096320,8189,4292869631,3757942267,2870983611,2554234304
1,128,0,0,9,39,2,173,2590610573,2720859744,453016064,0,0,0,96,390274304
3,25,0,0,10,9,2,173,948971709,63488527,788407681,616450232,278397395,400454234,58036429,925892495
3,34,0,0,10,11,2,173,948971709,63482377,470951083,562636122,278659289,918154781,29794627,119409257
3,24,0,0,10,10,2,173,948971709,63489539,637416615,649903564,255852915,848263774,56905899,920452973
3,7,0,0,10,8,2,173,948971709,63447823,859394571,174431482,997198461,105749785,189619877,214316279
3,7,2,0,10,67,2,67,948971709,63447823,859394571,174431482,997198461,105749785,189619877,214316279
3,9,0,0,10,6,2,173,948971709,63459844,83652502,233398689,444603908,200245811,48562262,282131794
